Identifier;Marquee;mrl
camera.2001;B-20 17,1 Sta. Coloma;rtsp://hello:world@10.137.229.2:554/camera-1
camera.2002;B-20 18,4 Sta. Coloma;rtsp://hello:world@10.137.229.3:554/camera-1
camera.2005;B-20 20 Badalona Montigalà;rtsp://hello:world@10.137.229.4:554/camera-1
camera.2006;B-20 21,2 Badalona Centre;rtsp://hello:world@10.137.229.5:554/camera-1
camera.2007;B-20 22,5 Badalona;rtsp://hello:world@10.137.229.6:554/camera-1
camera.2008;B-20 23,5 Tunel de Tiana;rtsp://hello:world@10.137.229.7:554/camera-1
camera.2009;B-20 24 Montgat;rtsp://hello:world@10.137.229.8:554/camera-1
camera.2010;B-20 24,8 Montgat;rtsp://hello:world@10.137.229.9:554/camera-1
camera.2201;C-32B 0,2 Prat de Llobregat;rtsp://root:root@10.137.241.48:554/axis-media/media.amp?videocodec=h264
camera.2301;B-23 0 Barcelona;rtsp://root:root@10.137.243.35:554/axis-media/media.amp?videocodec=h264
camera.2302;B-23 0,6 Esplugues;rtsp://root:root@10.137.243.36:554/axis-media/media.amp?videocodec=h264
camera.2303;B-23 1,2 Esplugues;rtsp://root:root@10.137.243.37:554/axis-media/media.amp?videocodec=h264
camera.2304;B-23 2,241 Esplugues;rtsp://root:root@10.137.243.38:554/axis-media/media.amp?videocodec=h264
camera.2305;B-23 3,11 Sant Just;rtsp://root:root@10.137.243.39:554/axis-media/media.amp?videocodec=h264
camera.2306;B-23 4,75 St. Joan Despí;rtsp://root:root@10.137.243.40:554/axis-media/media.amp?videocodec=h264
camera.2307;B-23 6,136 Enllaç A-2;rtsp://root:root@10.137.243.41:554/axis-media/media.amp?videocodec=h264
camera.2308;B-23 6,9 Sant Feliu;rtsp://root:root@10.137.243.99:554/axis-media/media.amp?videocodec=h264
camera.2309;B-23 7,38 Sant Feliu;rtsp://root:root@10.137.243.100:554/axis-media/media.amp?videocodec=h264
camera.2310;B-23 8,59 Molins de Rei;rtsp://root:root@10.137.243.101:554/axis-media/media.amp?videocodec=h264
camera.2311;B-23 10,181 Enllaç N-340;rtsp://root:root@10.137.243.102:554/axis-media/media.amp?videocodec=h264
camera.2312;B-23 11,14 Molins de Rei;rtsp://10.137.243.163:554/axis-media/media.amp?videocodec=h264
camera.2313;AP-2 12,185 Papiol;rtsp://root:root@10.137.243.164:554/axis-media/media.amp?videocodec=h264
camera.2314;AP-2 13,57 Papiol;rtsp://root:root@10.137.243.165:554/axis-media/media.amp?videocodec=h264
camera.2316;AP-2 15,2 Papiol;rtsp://root:root@10.137.243.227:554/axis-media/media.amp?videocodec=h264
camera.2401;N-240 5 Pallaresos;rtsp://root:root@10.137.247.100:554/axis-media/media.amp?videocodec=h264
camera.2402;N-240 18 Valls;rtsp://root:root@10.137.247.139:554/axis-media/media.amp?videocodec=h264
camera.2403;N-240 36,7 Montblanc;rtsp://root:root@10.137.247.137:554/axis-media/media.amp?videocodec=h264
camera.3001;C-31 198,867 Plaça Cerdà;rtsp://root:root@10.137.239.35:554/axis-media/media.amp?videocodec=h264
camera.3007;C-31 195,6 Hospitalet;rtsp://root:root@10.137.239.38:554/axis-media/media.amp?videocodec=h264
camera.3008;C-31 195,027 El Prat;rtsp://root:root@10.137.239.39:554/axis-media/media.amp?videocodec=h264
camera.3009;C-31 193,677 El Prat;rtsp://root:root@10.137.239.40:554/axis-media/media.amp?videocodec=h264
camera.3010;C-31 193,007 Sortida Aeroport;rtsp://root:root@10.137.239.41:554/axis-media/media.amp?videocodec=h264
camera.3011;C-31 192,177 Aeroport;rtsp://root:root@10.137.239.99:554/axis-media/media.amp?videocodec=h264
camera.3012;C-31 191,207 El Prat;rtsp://10.137.239.100:554/axis-media/media.amp?videocodec=h264
camera.3013;C-31 189,828 Mercaderies Aeroport;rtsp://root:root@10.137.239.101:554/axis-media/media.amp?videocodec=h264
camera.3014;C-31 188,937 Viladecans;rtsp://root:root@10.137.239.102:554/axis-media/media.amp?videocodec=h264
camera.3015;C-31 187,296 Viladecans;rtsp://root:root@10.137.239.163:554/axis-media/media.amp?videocodec=h264
camera.3016;C-31 186,456 Viladecans;rtsp://10.137.239.164:554/axis-media/media.amp?videocodec=h264
camera.3017;C-31 185,43 Gavà;rtsp://root:root@10.137.239.227:554/axis-media/media.amp?videocodec=h264
camera.3018;C-31 184,047 Gavà;rtsp://root:root@10.137.239.228:554/axis-media/media.amp?videocodec=h264
camera.3019;C-31 183,097 Gavà;rtsp://root:root@10.137.239.229:554/axis-media/media.amp?videocodec=h264
camera.3020;C-31 182,58 Gavà;rtsp://root:root@10.137.239.230:554/axis-media/media.amp?videocodec=h264
camera.3021;C-31 181,484 Castelldefels;rtsp://root:root@10.137.239.231:554/axis-media/media.amp?videocodec=h264
camera.3022;C-31 180,941 Castelldefels;rtsp://root:root@10.137.239.232:554/axis-media/media.amp?videocodec=h264
camera.3023;C-31 180,141 Castelldefels;rtsp://root:root@10.137.239.233:554/axis-media/media.amp?videocodec=h264
camera.3050;C-31 137,05 EL Vendrell;rtsp://root:root@10.137.246.74:554/axis-media/media.amp?videocodec=h264
camera.3101;C-31 207,5 L'Hospitalet;rtsp://hello:world@:554/camera-1
camera.3102;C-31 209,128 St. Adrià Besos;rtsp://hello:world@10.137.229.67:554/camera-1
camera.3103;C-31 210,144 Badalona Sud;rtsp://hello:world@10.137.229.68:554/camera-1
camera.3104;C-31 210,974 Badalona;rtsp://hello:world@10.137.229.69:554/camera-1
camera.3005;C-31 196,927 Bellvitge;rtsp://hello:world@10.137.239.36:554/camera-1
camera.3006;C-31 195,927 Hospital Bellvitge;rtsp://hello:world@10.137.229.71:554/camera-1
camera.3106;C-31 213,554 Badalona Nord;rtsp://hello:world@10.137.229.71:554/camera-1
camera.3107;C-31 214,903 Badalona;rtsp://hello:world@10.137.229.72:554/camera-1
camera.3108;C-31 215,8 Enllaç N-II;rtsp://hello:world@10.137.229.73:554/camera-1
camera.3109;C-31 216,254 Montgat;rtsp://hello:world@10.137.229.74:554/camera-1
camera.3201;B-20 2,83 Cornellà;rtsp://root:root@10.137.241.51:554/axis-media/media.amp?videocodec=h264
camera.3202;B-20 1,65 El Prat;rtsp://root:root@10.137.241.36:554/axis-media/media.amp?videocodec=h264
camera.3203;B-20 0,83 Sant Boi;rtsp://root:root@10.137.241.37:554/axis-media/media.amp?videocodec=h264
camera.3204;C-32S 54,3 Sant Boi Centre;rtsp://root:root@10.137.241.38:554/axis-media/media.amp?videocodec=h264
camera.3205;C-32S 53,35 Sant Boi Sud;rtsp://root:root@10.137.241.39:554/axis-media/media.amp?videocodec=h264
camera.3206;C-32S 51,6 Viladecans;rtsp://root:root@10.137.241.40:554/axis-media/media.amp?videocodec=h264
camera.3207;C-32S 50,365 Gavà;rtsp://root:root@10.137.241.41:554/axis-media/media.amp?videocodec=h264
camera.3208;C-32S 49,114 Gavà;rtsp://root:root@10.137.241.42:554/axis-media/media.amp?videocodec=h264
camera.3209;C-32S 49,975 Gavà Sud;rtsp://root:root@10.137.241.43:554/axis-media/media.amp?videocodec=h264
camera.3210;C-32S 46,9 Castelldefels;rtsp://root:root@10.137.241.44:554/axis-media/media.amp?videocodec=h264
camera.3211;C-32S 45,275 Castelldefels;rtsp://root:root@10.137.241.45:554/axis-media/media.amp?videocodec=h264
camera.3212;C-32S 44,3 Castelldefels;rtsp://10.137.241.46:554/axis-media/media.amp?videocodec=h264
camera.3213;C-32S 43,463 Port Ginesta;rtsp://10.137.241.47:554/axis-media/media.amp?videocodec=h264
camera.3304;C-33 79,847 Montcada;rtsp://hello:world@10.137.229.99:554/camera-1
camera.3306;C-33 82,11 Montcada;rtsp://hello:world@10.137.229.101:554/camera-1
camera.3307;C-33 84,22 La Llagosta;rtsp://hello:world@10.137.229.102:554/camera-1
camera.3401;N-340 1243,154 Molins;rtsp://root:root@10.137.245.44:554/axis-media/media.amp?videocodec=h264
camera.3402;N-340 1242,278 St. Vicenç;rtsp://root:root@10.137.245.45:554/axis-media/media.amp?videocodec=h264
camera.3403;N-340 1241,66 Cervelló;rtsp://root:root@10.137.245.46:554/axis-media/media.amp?videocodec=h264
camera.3404;N-340 1226 Ordal;rtsp://root:root@10.137.247.166:554/axis-media/media.amp?videocodec=h264
camera.3405;N-340 1201,8 Arboç;rtsp://root:root@10.137.246.70:554/axis-media/media.amp?videocodec=h264
camera.3406;N-340 1195,4 Bellvei;rtsp://root:root@10.137.246.72:554/axis-media/media.amp?videocodec=h264
camera.3407;N-340 1186,4 Vendrell;rtsp://root:root@10.137.246.38:554/axis-media/media.amp?videocodec=h264
camera.3408;N-340 1183,5 Roda de Barà;rtsp://root:root@10.137.246.43:554/axis-media/media.amp?videocodec=h264
camera.3409;N-340 1179,3 Torredembarra;rtsp://root:root@10.137.246.40:554/axis-media/media.amp?videocodec=h264
camera.3410;N-340 1176 Torredembarra;rtsp://root:root@10.137.247.145:554/axis-media/media.amp?videocodec=h264
camera.3411;N-340 1171 Tarragona;rtsp://root:root@10.137.247.147:554/axis-media/media.amp?videocodec=h264
camera.3412;N-340 1129,5 Tarragona;rtsp://root:root@10.137.247.72:554/axis-media/media.amp?videocodec=h264
camera.3413;N-340 1162 Tarragona;rtsp://root:root@10.137.247.4:554/axis-media/media.amp?videocodec=h264
camera.3414;N-340 1151,2 Vila-seca;rtsp://root:root@10.137.247.152:554/axis-media/media.amp?videocodec=h264
camera.3415;N-340 1143,7 Cambrils;rtsp://root:root@10.137.246.100:554/axis-media/media.amp?videocodec=h264
camera.3416;N-340 1130,2 Miami Platja;rtsp://root:root@10.137.246.102:554/axis-media/media.amp?videocodec=h264
camera.3417;N-340 1124,9 Vandellós;rtsp://root:root@10.137.246.196:554/axis-media/media.amp?videocodec=h264
camera.3418;N-340 1113 Ametlla de Mar;rtsp://root:root@10.137.246.198:554/axis-media/media.amp?videocodec=h264
camera.3419;N-340 1099,2 Ampolla;rtsp://root:root@10.137.246.168:554/axis-media/media.amp?videocodec=h264
camera.3420;N-340 1087,5 Aldea;rtsp://root:root@10.137.246.132:554/axis-media/media.amp?videocodec=h264
camera.3421;N-340 1072 S. Carles Ràpita;rtsp://root:root@10.137.246.170:554/axis-media/media.amp?videocodec=h264
camera.3422;N-340 1065,6 Alcanar;rtsp://root:root@10.137.246.172:554/axis-media/media.amp?videocodec=h264
camera.3501;C-35 84 Maçanet;rtsp://root:root@10.137.232.11:554/axis-media/media.amp?videocodec=h264
camera.3502;C-35 85,5 Vidreres;rtsp://root:root@10.137.232.12:554/axis-media/media.amp?videocodec=h264
camera.3503;C-35 88 Vidreres;rtsp://root:root@10.137.232.13:554/axis-media/media.amp?videocodec=h264
camera.3504;C-35 91,5 Caldes;rtsp://root:root@10.137.232.14:554/axis-media/media.amp?videocodec=h264
camera.3505;C-35 94,7 Llagostera;rtsp://root:root@10.137.232.15:554/axis-media/media.amp?videocodec=h264
camera.3506;C-35 96,5 Llagostera;rtsp://root:root@10.137.232.16:554/axis-media/media.amp?videocodec=h264
camera.3507;C-65 28 Quart;rtsp://root:root@10.137.232.17:554/axis-media/media.amp?videocodec=h264
camera.3508;C-25 244,5 Cassà;rtsp://root:root@10.137.232.18:554/axis-media/media.amp?videocodec=h264
camera.3509;C-25 238 Riudellots;rtsp://root:root@10.137.232.19:554/axis-media/media.amp?videocodec=h264
camera.3510;C-65 17 Cassà;rtsp://root:root@10.137.232.20:554/axis-media/media.amp?videocodec=h264
camera.3511;C-65 12 Llagostera;rtsp://root:root@10.137.232.21:554/axis-media/media.amp?videocodec=h264
camera.3512;C-65 9,4 Llagostera;rtsp://root:root@10.137.232.22:554/axis-media/media.amp?videocodec=h264
camera.3513;C-65 5,4 Santa Cristina;rtsp://root:root@10.137.232.23:554/axis-media/media.amp?videocodec=h264
camera.3514;C-35 310 Santa Cristina;rtsp://root:root@10.137.232.24:554/axis-media/media.amp?videocodec=h264
camera.3515;C-35 312 Castell d'Aro;rtsp://root:root@10.137.232.25:554/axis-media/media.amp?videocodec=h264
camera.3516;C-35 314 Castell d'Aro;rtsp://root:root@10.137.232.26:554/axis-media/media.amp?videocodec=h264
camera.3517;C-35 316,5 Castell d'Aro;rtsp://root:root@10.137.232.27:554/axis-media/media.amp?videocodec=h264
camera.3518;C-35 319,5 Calonge;rtsp://root:root@10.137.232.28:554/axis-media/media.amp?videocodec=h264
camera.3519;C-35 324,6 Palamos;rtsp://root:root@10.137.232.29:554/axis-media/media.amp?videocodec=h264
camera.3520;C-35 327 Palamos;rtsp://root:root@10.137.232.30:554/axis-media/media.amp?videocodec=h264
camera.3521;C-35 330 Montras;rtsp://root:root@10.137.232.31:554/axis-media/media.amp?videocodec=h264
camera.3523;C-66 1,5 Llofriu;rtsp://root:root@10.137.232.33:554/axis-media/media.amp?videocodec=h264
camera.3524;C-66 5,3 Forellac;rtsp://root:root@10.137.232.34:554/axis-media/media.amp?videocodec=h264
camera.3525;C-66 7,5 La Bisbal;rtsp://root:root@10.137.232.35:554/axis-media/media.amp?videocodec=h264
camera.0806;AP-7 298,8 L'Ametlla de Mar;rtsp://hello:world@10.149.15.45:554/camera-1
camera.0805;AP-7 297 L'Ametlla de Mar;rtsp://hello:world@10.149.15.46:554/camera-1
camera.4001;C-32 85,048 Alella;rtsp://hello:world@10.137.229.66:554/camera-1
camera.4003;C-32 85,8 Sortida Alella;rtsp://hello:world@10.137.229.10:554/camera-1
camera.0799;AP-7 279,3 Hospitalet de l'Infant;rtsp://hello:world@10.149.3.52:554/camera-1
camera.0796;AP-7 266,8 Cambrils;rtsp://hello:world@10.149.3.53:554/camera-1
camera.0795;AP-7 265 Cambrils;rtsp://hello:world@10.149.3.54:554/camera-1
camera.0794;AP-7 263,9 Cambrils;rtsp://hello:world@10.149.3.55:554/camera-1
camera.5803;C-58 0 Ronda de Dalt;rtsp://hello:world@10.137.227.203:554/camera-1
camera.0804;AP-7 296,1 L'Ametlla de Mar;rtsp://hello:world@10.149.4.47:554/camera-1
camera.0801;AP-7 284,5 Hospitalet de l'Infant;rtsp://hello:world@10.149.4.48:554/camera-1
camera.0800;AP-7 281 Hospitalet de l'Infant;rtsp://hello:world@10.149.4.51:554/camera-1
camera.0814;AP-7 319 L'Aldea;rtsp://hello:world@10.149.5.36:554/camera-1
camera.0813;AP-7 318,3 L'Aldea;rtsp://hello:world@10.149.5.37:554/camera-1
camera.0812;AP-7 317,8 L'Aldea;rtsp://hello:world@10.149.5.38:554/camera-1
camera.0811;AP-7 315,8 Camarles;rtsp://hello:world@10.149.5.41:554/camera-1
camera.0808;AP-7 307,1 L'Ampolla;rtsp://hello:world@10.149.5.42:554/camera-1
camera.0809;AP-7 309 L'Ampolla;rtsp://hello:world@10.149.5.43:554/camera-1
camera.0815;AP-7 320,2 L'Aldea;rtsp://hello:world@10.149.6.35:554/camera-1
camera.0817;AP-7 324,4 Amposta;rtsp://hello:world@10.149.7.33:554/camera-1
camera.0816;AP-7 323 L'Aldea;rtsp://hello:world@10.149.7.34:554/camera-1
camera.5810;C-58 1,7 B. Nord inferior;rtsp://hello:world@10.137.227.210:554/camera-1
camera.5811;C-58 1,75 Montcada i Reixac;rtsp://hello:world@10.137.227.211:554/camera-1
camera.5813;C-58 2,83 Montcada i Reixac;rtsp://hello:world@10.137.227.213:554/camera-1
camera.5815;C-58 3,902 Montcada i Reixac;rtsp://hello:world@10.137.227.215:554/camera-1
camera.5818;C-58 4,589 Montcada i Reixac;rtsp://hello:world@10.137.227.218:554/camera-1
camera.5819;C-58 5,976 Ripollet;rtsp://hello:world@10.137.229.130:554/camera-1
camera.5821;C-58 7,826 Ripollet;rtsp://hello:world@10.137.229.131:554/camera-1
camera.5822;C-58 9,546 Badia del Vallès;rtsp://hello:world@10.137.229.132:554/camera-1
camera.5823;C-58 11,725 Sant Quirze;rtsp://hello:world@10.137.229.133:554/camera-1
camera.5824;C-58 15,5 Sant Quirze;rtsp://hello:world@10.137.229.134:554/camera-1
camera.5825;C-58 17,75 Terrassa;rtsp://hello:world@10.137.229.135:554/camera-1
camera.1501;C-15 1 C-15 1,000;rtsp://172.28.5.1/h264&inst=2
camera.1511;C-15 14 C-15 14,000;rtsp://172.28.5.1/h264&inst=2
camera.1509;C-15 11 C-15 11,000;rtsp://172.28.5.11/h264&inst=2
camera.1510;C-15 12 C-15 12,000;rtsp://172.28.5.12/h264&inst=2
camera.1512;C-15 15 C-15 15,000;rtsp://172.28.5.15/h264&inst=2
camera.1513;C-15 16 C-15 16,000;rtsp://172.28.5.16/h264&inst=2
camera.1514;C-15 18 C-15 18,000;rtsp://172.28.5.18/h264&inst=2
camera.1516;C-15 19,5 C-15 19,500;rtsp://172.28.5.19/h264&inst=2
camera.1515;C-15 19 C-15 19,000;rtsp://172.28.5.193/h264&inst=2
camera.1502;C-15 2 C-15 2,000;rtsp://172.28.5.2/h264&inst=2
camera.1517;C-15 22 C-15 22,000;rtsp://172.28.5.22/h264&inst=2
camera.1518;C-15 24 C-15 24,000;rtsp://172.28.5.24/h264&inst=2
camera.1519;C-15 27 C-15 27,000;rtsp://172.28.5.27/h264&inst=2
camera.1520;C-15 28 C-15 28,000;rtsp://172.28.5.28:554/h263
camera.1503;C-15 3 C-15 3,000;rtsp://172.28.5.3/h264&inst=2
camera.1521;C-15 31 C-15 31,000;rtsp://172.28.5.31/h264&inst=2
camera.1522;C-15 32 C-15 32,000;rtsp://172.28.5.32/h264&inst=2
camera.1523;C-15 35 C-15 35,000;rtsp://172.28.5.35/h264&inst=2
camera.1524;C-15 36 C-15 36,000;rtsp://172.28.5.36/h264&inst=2
camera.1525;C-15 37 C-15 37,000;rtsp://172.28.5.37/h264&inst=2
camera.1526;C-15 39 C-15 39,000;rtsp://172.28.5.39/h264&inst=2
camera.1504;C-15 4 C-15 4,000;rtsp://172.28.5.4/h264&inst=2
camera.1527;C-15 40 C-15 40,000;rtsp://172.28.5.40/h264&inst=2
camera.1528;C-15 43 C-15 43,000;rtsp://172.28.5.43/h264&inst=2
camera.1505;C-15 5 C-15 5,000;rtsp://172.28.5.5/h264&inst=2
camera.1506;C-15 6 C-15 6,000;rtsp://172.28.5.6/h264&inst=2
camera.3701;C-37 69 C-37 69,000;rtsp://172.28.5.69/h264&inst=2
camera.3702;C-37 70 C-37 70,000;rtsp://172.28.5.70/h264&inst=2
camera.3703;C-37 72 C-37 72,000;rtsp://172.28.5.72/h264&inst=2
camera.3704;C-37 74 C-37 74,000;rtsp://172.28.5.74:554/h263
camera.3705;C-37 78 C-37 78,000;rtsp://172.28.5.76/h264&inst=2
camera.3706;C-37 79 C-37 79,000;rtsp://172.28.5.79/h264&inst=2
camera.1508;C-15 8 C-15 8,000;rtsp://172.28.5.8/h264&inst=2
camera.3707;C-37 80 C-37 80,000;rtsp://172.28.5.80/h264&inst=2
camera.3708;C-37 81 C-37 81,000;rtsp://172.28.5.81/h264&inst=2
camera.3709;C-37 86 C-37 86,000;rtsp://172.28.5.86/h264&inst=2
camera.3710;C-37 88 C-37 88,000;rtsp://172.28.5.88/h264&inst=2
camera.3711;C-37 90 C-37 90,000;rtsp://172.28.5.90/h264&inst=2
camera.3712;C-37 92 C-37 92,000;rtsp://172.28.5.92:554/h263
camera.1411;C-14 11,365 C-14 11,365 Reus;rtsp://:@192.168.0.25/h264&inst=1
camera.1412;C-14 13,147 C-14 13,147 Reus;rtsp://:@192.168.0.25/h264&inst=1
camera.1413;C-14 14,485 C-14 14+485 Selva del Camp;rtsp://:@192.168.0.25/h264&inst=1
camera.1414;C-14 16,165 C-14 16,165 Masies Catalanes;rtsp://:@192.168.0.25/h264&inst=1
camera.1415;C-14 18,247 C-14 18,247 Alcover;rtsp://:@192.168.0.25/h264&inst=1
camera.1416;C-14 20,684 C-14 20,684 Alcover;rtsp://:@192.168.0.25/h264&inst=1
camera.0001;B-20 15,63 Meridiana;rtsp://hello:world@192.168.47.201:554/camera-1
camera.0002;B-20 14,93 Via Julia;rtsp://hello:world@192.168.47.202:554/camera-1
camera.0003;B-20 13,23 Valldaura;rtsp://hello:world@192.168.47.203:554/camera-1
camera.0004;B-20 12,34 Velodrom;rtsp://hello:world@192.168.47.204:554/camera-1
camera.0005;B-20 11,4 Vall d'Hebron;rtsp://hello:world@192.168.47.205:554/camera-1
camera.0006;B-20 10,68 Jorda;rtsp://hello:world@192.168.47.206:554/camera-1
camera.0007;B-20 9,6 Collserola;rtsp://hello:world@192.168.47.207:554/camera-1
camera.0008;B-20 8,4 St. Gervasi;rtsp://hello:world@192.168.47.208:554/camera-1
camera.0009;B-20 7,47 Via Augusta;rtsp://hello:world@192.168.47.209:554/camera-1
camera.0010;B-20 7,42 Vallvidrera;rtsp://hello:world@192.168.47.210:554/camera-1
camera.0011;B-20 5,42 Crta. Esplugues;rtsp://hello:world@192.168.47.211:554/camera-1
camera.0012;B-20 4,6 Diagonal;rtsp://hello:world@192.168.47.212:554/camera-1
camera.0013;B-20 3,78 Esplugues;rtsp://hello:world@192.168.47.213:554/camera-1
camera.0014;B-20 0,76 Cornellà;rtsp://hello:world@192.168.47.214:554/camera-1
camera.0015;A-2 610,5 Nus Llobregat;rtsp://hello:world@192.168.47.215:554/camera-1
camera.0016;B-10 17,8 Mercabarna;rtsp://hello:world@192.168.47.216:554/camera-1
camera.0017;N-II 16,9 Zona Franca;rtsp://hello:world@192.168.47.217:554/camera-1
camera.0018;N-II 15,2 Pg. Zona Franca;rtsp://hello:world@192.168.47.218:554/camera-1
camera.0019;N-II 14,2 Can Tunis;rtsp://hello:world@192.168.47.219:554/camera-1
camera.0020;B-10 12,43 Morrot;rtsp://hello:world@192.168.47.220:554/camera-1
camera.0021;B-10 11 Pg. Colon;rtsp://hello:world@192.168.47.221:554/camera-1
camera.0022;B-10 9,4 Barceloneta;rtsp://hello:world@192.168.47.222:554/camera-1
camera.0023;B-10 8,92 Avda. Carles I;rtsp://hello:world@192.168.47.223:554/camera-1
camera.0024;B-10 7,99 Badajoz;rtsp://hello:world@192.168.47.224:554/camera-1
camera.0025;B-10 6,7 Bac de Roda;rtsp://hello:world@192.168.47.225:554/camera-1
camera.0026;B-10 5,36 Prim;rtsp://hello:world@192.168.47.226:554/camera-1
camera.0027;B-10 4,3 Besos;rtsp://hello:world@192.168.47.227:554/camera-1
camera.0028;B-10 2,7 Guipuzcoa;rtsp://hello:world@192.168.47.228:554/camera-1
camera.0029;B-10 0,76 Bon Pastor;rtsp://hello:world@192.168.47.229:554/camera-1
camera.0030;B-10 0 Acces Nus Trinitat;rtsp://hello:world@192.168.47.230:554/camera-1
camera.0031;B-10 0 Nus Trinitat;rtsp://hello:world@192.168.47.231:554/camera-1
camera.0032;B-10 11,7 0;rtsp://hello:world@192.168.47.233:554/camera-1
camera.0033;B-10 12,7 0;rtsp://hello:world@192.168.47.234:554/camera-1
camera.9001;Rondes  Collserola/Guàrdia Urbana 1;rtsp://hello:world@192.168.47.93:554/camera-1
camera.9002;Rondes  Collserola/Guàrdia Urbana 2;rtsp://hello:world@192.168.47.94:554/camera-1
camera.9003;Rondes  Collserola/Guàrdia Urbana 3;rtsp://hello:world@192.168.47.95:554/camera-1
camera.9004;Rondes  Collserola/Guàrdia Urbana 4;rtsp://hello:world@192.168.47.96:554/camera-1
camera.0786;AP-7 242,4 Tarragona;rtsp://root:root@10.131.65.8:554/axis-media/media.amp?videocodec=h264
camera.0810;AP-7 310,4 L'Ampolla;rtsp://hello:world@-:554/camera-1
camera.8001;  Canal Aeri 1;rtsp://root:root@10.136.47.21:554/axis-media/media.amp?videocodec=h264
camera.8002;  Canal Aeri 2;rtsp://root:root@10.136.47.22:554/axis-media/media.amp?videocodec=h264
camera.8050;0;rtsp://:@-/FALSO
camera.8051;0;rtsp://:@-/FALSO
camera.8052;0;rtsp://:@-/FALSO
camera.8053;0;rtsp://:@-/FALSO
